timestamp,command,status
2026-04-23T23:47:29,Purchase[E722AFBD]: 2× MED001 @ ₹30.00,SUCCESS
2026-04-23T23:47:29,Purchase[C4729613]: 5× MED001 @ ₹112.50,SUCCESS
2026-04-23T23:47:29,Purchase[C4729613]: 5× MED001 @ ₹112.50,UNDONE
2026-04-23T23:48:16,Purchase[2B3F6ECB]: 2× MED001 @ ₹30.00,SUCCESS
2026-04-23T23:48:16,Purchase[61DC4617]: 5× MED001 @ ₹112.50,SUCCESS
2026-04-23T23:48:16,Purchase[61DC4617]: 5× MED001 @ ₹112.50,UNDONE
2026-04-25T00:12:39,Purchase[9CCB501A]: 2× MED001 @ ₹30.00,SUCCESS
2026-04-25T00:12:39,Purchase[60EB5256]: 5× MED001 @ ₹112.50,SUCCESS
2026-04-25T00:12:39,Purchase[60EB5256]: 5× MED001 @ ₹112.50,UNDONE
2026-04-25T01:56:25,Purchase[49672A55]: 1x MED001 @ rs.15.00,SUCCESS
2026-04-25T11:58:39,Purchase[CBE99BD4]: 1x MED001 @ rs.22.50,SUCCESS
2026-04-25T11:59:10,Purchase[8B9F3C0A]: 2x MED001 @ rs.45.00,SUCCESS
2026-04-25T12:04:52,Purchase[2C20AAB3]: 2x MED001 @ rs.45.00,SUCCESS
2026-04-25T12:05:12,Purchase[81F23DD9]: 3x MED001 @ rs.45.00,SUCCESS
2026-04-25T12:08:25,Purchase[E644738E]: 3x FOOD001 @ rs.135.00,SUCCESS
2026-04-25T12:10:52,Purchase[7686E9B1]: 1x FOOD001 @ rs.45.00,SUCCESS
2026-04-25T12:19:32,Purchase[1821E2D8]: 1x MED001 @ rs.12.00,SUCCESS
2026-04-25T12:21:46,Purchase[80FF9487]: 1x MED001 @ rs.12.00,SUCCESS
2026-04-25T12:22:12,Purchase[3B977294]: 1x FOOD003 @ rs.20.00,SUCCESS
2026-04-25T12:28:12,Purchase[55DCA6A9]: 3x MED002 @ rs.204.00,SUCCESS
2026-04-25T12:28:43,Purchase[4A38CDA3]: 1x FOOD001 @ rs.36.00,SUCCESS
2026-04-25T12:29:39,Purchase[7B2B1C75]: 1x EM001 @ rs.15.00,SUCCESS
2026-04-25T12:30:57,Purchase[9803B53D]: 1x FOOD003 @ rs.20.00,SUCCESS
2026-04-25T12:31:22,Purchase[C81AB1B7]: 1x FOOD003 @ rs.16.00,SUCCESS
2026-04-25T12:31:35,Purchase[59BC06A2]: 1x EM001 @ rs.15.00,SUCCESS
